Location_ID,Season,Area_Type,Na_Cl_meq,Ca_Mg_meq,HCO3_Cl_meq,Ca_SO4_meq,Mg_Ca_meq,CaMg_HCO3SO4_meq,Na_K_meq,NO3_Cl_meq,SO4_Cl_meq,HCO3_sum_anion,CAI_1,CAI_2,IonExchange,Gibbs_Cation,Gibbs_Anion,PIG,PIG_Category,NBL_total_exceed
IA-3,Monsoon,IA,1.6839200481025527,3.252479416167665,1.6695682241360796,6.145911496509056,0.30745774901114703,1.059621776384204,29.87866972477064,0.17469519486372878,0.2536033195202053,0.5389412667033268,-0.7402786498614025,-0.3528721039657879,Direct ion exchange,0.5535649786895903,0.2581428729159766,1.655896209299383,Moderate,3
IA-4,Monsoon,IA,0.45077937702528253,2.6379489674152596,0.34201094466622894,5.837606445400657,0.379082390278319,1.8056299469554205,11.55680751173709,0.1147936878180361,0.09888776201514238,0.21984483942680816,0.5102150951446942,0.9181610189290405,Reverse ion exchange,0.4726362746164726,0.629444420900962,6.19275031737037,Very High,4
IA-5,Monsoon,IA,0.5789352963941603,2.384308707064051,0.5886246979172766,4.681596985106132,0.4194087774948248,1.1267093756196886,4.340897235263433,0.0731390101784194,0.12018159435088081,0.33032702917935036,0.287697045949455,0.36792477050415007,Reverse ion exchange,0.5414823008849557,0.4967220612898307,5.279363693015433,Very High,4
DY-1,Monsoon,DY,2.999211466411083,2.8766403363485793,3.8148349577993526,6.439344203159946,0.3476277473287937,0.7640329665687221,7.823222748815165,0.3693424483375353,0.3683006237334131,0.6870508874194433,-2.38258435028625,-0.5233598788732934,Direct ion exchange,0.5920731707317073,0.13216209058003003,3.168569685478395,Very High,2
DY-2,Monsoon,DY,0.6788674238543875,2.8175897630904987,0.3625186204566204,4.542151578278701,0.35491327130005645,2.040320285417062,7.983387358184767,0.052714303927505785,0.17979384163811252,0.227280587498032,0.23609756614344907,0.3967847828455923,Reverse ion exchange,0.4882466930659702,0.6157626246080404,3.9416978893873473,Very High,5
DY-3,Monsoon,DY,0.33800740706264093,4.275197713498872,0.2915002484400257,7.230452686859292,0.23390731072916582,2.0542304042987243,2.7812892184826015,0.07782214899190466,0.08719484371816476,0.20013511697935776,0.5404635535205059,1.1838842102850846,Reverse ion exchange,0.3809270819497942,0.6658859470468431,6.6365033487623455,Very High,3
DY-4,Monsoon,DY,1.9262950770045786,4.255060494046077,2.408974614609372,6.500222705996459,0.23501428508460853,0.8675990228436259,6.230729964267484,0.26145357814649484,0.2918918350820409,0.6079707337329491,-1.235455494492041,-0.41705672678240513,Direct ion exchange,0.5381502023684606,0.19430446105455407,3.168473568992284,Very High,3
DY-5,Monsoon,DY,0.9573887233393555,2.526281461972321,0.7048611276937502,3.7453668759586334,0.39583871197759535,1.3926976822716552,4.9662436548223345,0.04529759935936493,0.2559581454251643,0.3513559640336368,-0.15016797258334097,-0.14925499878900292,Direct ion exchange,0.5340571640683,0.4518189798107871,3.5017288637746917,Very High,3
PD-1,Postmonsoon,PD,1.2220282456837142,7.578592814371258,1.5387089547546626,3.7481303796606262,0.1319506172839506,0.9654957031383601,6.022448979591838,0.7979030524691894,0.45331857003666104,0.40599924547084765,-0.42494042473658417,-0.15231218590171566,Direct ion exchange,0.45219123505976094,0.27407952871870395,3.2645225428688276,Very High,1
PD-2,Postmonsoon,PD,0.3887974931453193,0.8275803630215173,1.1999283867006272,3.934499545509919,1.2083418658569594,1.3649249969372337,5.273469387755102,0.35800276082534155,0.223628901922074,0.4313868352181483,0.5374754280461642,0.30168807849765333,Reverse ion exchange,0.33649588867805186,0.3262180974477958,2.88922227021142,Very High,1
PD-3,Postmonsoon,PD,0.5297563796335489,0.6226637361531439,0.588330127516959,5.217258231628346,1.6060032758259917,1.9896984788003216,10.184545454545455,0.17833152003230293,0.10085729624825931,0.3150330171862216,0.41822790871806187,0.4820965717328199,Reverse ion exchange,0.536062906724512,0.49684719702859115,5.119644980662039,Very High,3
PD-4,Postmonsoon,PD,0.8579508175436471,1.020049038413424,0.18216352272173372,1.039950271870053,0.9803450249366362,1.4249372349278793,6.405929919137466,0.6070618702356259,0.4090813737133981,0.08286537870126864,0.008118460707344599,0.006774943556314907,Reverse ion exchange,0.6983016983016983,0.7612913003940589,3.009167444955247,Very High,2
PD-5,Postmonsoon,PD,0.3704275261534741,13.99224764756202,2.2717925995216235,16.25133049745211,0.07146814616122363,1.3807573867776384,3.4888361045130645,0.21662210058773385,0.19565802203479105,0.6166524851332004,0.5233973727363594,0.19500118920706735,Reverse ion exchange,0.11793611793611794,0.20364810513793688,3.723795360398149,Very High,2
IA-1,Postmonsoon,IA,0.22501485116165787,1.9146340498118106,0.24563077363734398,9.729366246267025,0.5222930199628958,2.882126698831676,5.066806136680614,0.07023158901489274,0.05934694570959871,0.17861337335619265,0.7305755454132798,1.9471146614218449,Reverse ion exchange,0.30903832248734636,0.7028376626494455,3.707740104123457,Very High,3
IA-2,Postmonsoon,IA,0.22066008951829943,2.669233366337442,0.12187406118494694,14.17891616766467,0.3746394049360093,5.3247093178247935,2.8748778103616814,0.12122521382580007,0.04580935740054885,0.09455601283152584,0.7025853128695888,2.431859882502143,Reverse ion exchange,0.2805253770066483,0.8265955263697927,1.6606355332222298,Moderate,2
IA-3,Postmonsoon,IA,0.40176762276843764,4.619940193869686,0.20533893808359488,4.945215299963077,0.2164530184453307,2.503608067411811,3.985295875672445,0.2383849206519362,0.14637988923633705,0.12913556008247815,0.4974198816723345,0.8429363198961547,Reverse ion exchange,0.38912590534775277,0.7388528776271852,5.369773550708334,Very High,4
IA-4,Postmonsoon,IA,0.4009501568331158,2.8731287425149703,0.5266242699801116,10.181228678101965,0.34805262472319914,1.7714621780513577,14.233898305084745,0.05257070784283749,0.07804451689345905,0.31777197662684786,0.5708811610364318,0.8686044670562,Reverse ion exchange,0.36674090571640683,0.5245276764998343,6.077097546722222,Very High,2
IA-5,Postmonsoon,IA,0.34549028430412987,1.9668290100254509,0.5766183249214437,6.068174788437653,0.50843260644557,2.3143767398541204,6.400896057347671,0.16830523845086953,0.19513103040995197,0.29721757664421594,0.600534415798985,0.6388292975440535,Reverse ion exchange,0.2508656716417911,0.5018740629685158,0.6891108455745373,Insignificant,2
DY-1,Postmonsoon,DY,0.43633312471621943,9.93048278443114,0.2114434470988214,3.600096902107135,0.10070003862931869,2.2315987339395535,6.973824130879346,0.46042104831881137,0.2725876826089913,0.10874191172621693,0.5010996070924043,0.530571709982629,Reverse ion exchange,0.337881084722924,0.7331608898085876,2.3090769395000006,High,2
DY-2,Postmonsoon,DY,0.46396406388642414,1.7398547852031132,0.9498693585292826,3.828408737219123,0.5747606113479514,1.701165539922956,3.0536299765807966,0.20858089203423308,0.373385240321084,0.37517025175968566,0.38409740150240695,0.2507432448118822,Reverse ion exchange,0.27140835102618543,0.3795055108728031,5.445607777024692,Very High,3
DY-3,Postmonsoon,DY,0.525379645585003,1.924425417270236,0.11715555146166941,1.6050765828550961,0.5196356226776939,1.656310247810407,7.152830188679245,0.09495234724174001,0.24788024971745717,0.08024417978213431,0.40116975769643937,0.8721306387428676,Reverse ion exchange,0.6024700887688151,0.8321824459385789,1.4083761618750001,Low,4
DY-4,Postmonsoon,DY,0.5122781819278232,3.124175169398046,0.11104916251406499,3.33431693451463,0.320084484953088,2.8770898831888965,31.337062937062942,0.4435197123577957,0.20957722673276663,0.06294782638073865,0.47137446021810236,0.6168643132880807,Reverse ion exchange,0.4569249436644133,0.8395257753784271,3.6789288237885804,Very High,3
DY-5,Postmonsoon,DY,0.7313477087283891,1.4228760524064654,0.9995696822157992,9.757721947409529,0.7028019048523106,1.788650104870087,6.481735159817352,0.2929946748300941,0.12058423375526206,0.4142180411211007,0.1558202037679004,0.11026455730289576,Reverse ion exchange,0.4163550236848666,0.36757180156657965,1.6307133245540124,Moderate,3
